sep=,
AFV[Project Number],AFV[Project Name],AFV[Client],AFV[Probability],AFV[Business],AFV[Discipline],AFV[Business Code],AFV[Discipline Code],AFV[Next Sequence Number],AFV[Work Order Name],AFV[Work Order Type],AFV[Internal/External],AFV[Original Scope / Change],AFV[Start Date],AFV[End Date],AFV[InoEngineering AFV Revenue],AFV[InoSurveying AFV Revenue],AFV[Project Key],AFV[Work Order Title],AFV[Initial Value],AFV[Order Value],AFV[Cumulative Value],AFV[Value to Complete],AFV[Cost to Date],AFV[Manual Cost Adjustment],AFV[Anticipated Final Cost (EV)],AFV[Forecast Profit],AFV[Profit Margin],AFV[Link]
396,W3 UTX Monitoring,BAM,1,InoSurveying,Surveying Change,2,9,23,396-BAM-29023-CRQ023_Mossley Retaining_Wall_Monitoring-1_Week_Extension,Fixed Fee,Internal,Change,20/08/2025,31/12/2025,0,0,396,CRQ023_Mossley Retaining_Wall_Monitoring-1_Week_Extension,1397,1397,1397,0,0,0,0,1397,1,https://inorail.sharepoint.com/sites/InoRailLtdProjectDrive/Shared Documents/RO-P-0396 - BAM Nuttall - W3 UTX Monitoring/Commercial/00_AFC/0396_Project_Dashboard.xlsx
396,W3 UTX Monitoring,BAM,1,InoSurveying,Surveying Change,2,9,21,396-BAM-29021-CRQ021_Dewsbury_Station_Monitoring,Fixed Fee,Internal,Change,20/08/2025,31/12/2025,0,0,396,CRQ021_Dewsbury_Station_Monitoring,11943,11943,11943,0,0,0,0,11943,1,https://inorail.sharepoint.com/sites/InoRailLtdProjectDrive/Shared Documents/RO-P-0396 - BAM Nuttall - W3 UTX Monitoring/Commercial/00_AFC/0396_Project_Dashboard.xlsx
396,W3 UTX Monitoring,BAM,1,InoSurveying,Surveying Change,2,9,20,396-BAM-29020-CRQ020_Huddersfield_Station_Riser_Wall_Monitoring,Fixed Fee,Internal,Change,20/08/2025,31/12/2025,0,0,396,CRQ020_Huddersfield_Station_Riser_Wall_Monitoring,14500.25,14500.25,14500.25,0,0,0,0,14500.25,1,https://inorail.sharepoint.com/sites/InoRailLtdProjectDrive/Shared Documents/RO-P-0396 - BAM Nuttall - W3 UTX Monitoring/Commercial/00_AFC/0396_Project_Dashboard.xlsx
396,W3 UTX Monitoring,BAM,1,InoSurveying,Surveying Change,2,9,18,396-BAM-29018-CRQ018_Ridings_UTX,Fixed Fee,Internal,Change,20/08/2025,31/12/2025,0,0,396,CRQ018_Ridings_UTX,18093.5,18093.5,18093.5,0,0,0,0,18093.5,1,https://inorail.sharepoint.com/sites/InoRailLtdProjectDrive/Shared Documents/RO-P-0396 - BAM Nuttall - W3 UTX Monitoring/Commercial/00_AFC/0396_Project_Dashboard.xlsx
396,W3 UTX Monitoring,BAM,1,InoSurveying,Surveying Change,2,9,13,396-BAM-29013-CRQ013_UTX_3_&_4_Hire_Extension,Fixed Fee,Internal,Change,20/08/2025,31/12/2025,0,0,396,CRQ013_UTX_3_&_4_Hire_Extension,3522,3522,3522,0,0,0,0,3522,1,https://inorail.sharepoint.com/sites/InoRailLtdProjectDrive/Shared Documents/RO-P-0396 - BAM Nuttall - W3 UTX Monitoring/Commercial/00_AFC/0396_Project_Dashboard.xlsx
396,W3 UTX Monitoring,BAM,1,InoSurveying,Surveying Change,2,9,12,396-BAM-29012-CRQ012_UTX10_Monitoring_Cancellation,Fixed Fee,Internal,Change,20/08/2025,31/12/2025,0,0,396,CRQ012_UTX10_Monitoring_Cancellation,1710,1710,1710,0,0,0,0,1710,1,https://inorail.sharepoint.com/sites/InoRailLtdProjectDrive/Shared Documents/RO-P-0396 - BAM Nuttall - W3 UTX Monitoring/Commercial/00_AFC/0396_Project_Dashboard.xlsx
396,W3 UTX Monitoring,BAM,1,InoSurveying,Surveying Change,2,9,11,396-BAM-29011-CRQ011_UTX_3_&_4_Hire_Extension,Fixed Fee,Internal,Change,20/08/2025,31/12/2025,0,0,396,CRQ011_UTX_3_&_4_Hire_Extension,7044,7044,7044,0,0,0,0,7044,1,https://inorail.sharepoint.com/sites/InoRailLtdProjectDrive/Shared Documents/RO-P-0396 - BAM Nuttall - W3 UTX Monitoring/Commercial/00_AFC/0396_Project_Dashboard.xlsx
396,W3 UTX Monitoring,BAM,1,InoSurveying,Surveying Change,2,9,9,396-BAM-29009-CRQ009_UTX_3&_4_Hire_Extension,Fixed Fee,Internal,Change,20/08/2025,31/12/2025,0,0,396,CRQ009_UTX_3&_4_Hire_Extension,5283,5283,5283,0,0,0,0,5283,1,https://inorail.sharepoint.com/sites/InoRailLtdProjectDrive/Shared Documents/RO-P-0396 - BAM Nuttall - W3 UTX Monitoring/Commercial/00_AFC/0396_Project_Dashboard.xlsx
396,W3 UTX Monitoring,BAM,1,InoSurveying,Surveying Change,2,9,7,396-BAM-29007-CRQ007_Mirefield_Stn_Cancelled_UTX,Fixed Fee,Internal,Change,20/08/2025,31/12/2025,0,0,396,CRQ007_Mirefield_Stn_Cancelled_UTX,1710,1710,1710,0,0,0,0,1710,1,https://inorail.sharepoint.com/sites/InoRailLtdProjectDrive/Shared Documents/RO-P-0396 - BAM Nuttall - W3 UTX Monitoring/Commercial/00_AFC/0396_Project_Dashboard.xlsx
230030,MEC8078 Marsh Lane Viaduct,AMCO,1,InoSurveying,Surveying Change,2,9,3,230030-AMCO-29003-CRQ003-Monitoring_Extention_(01/10/24-31/02/25),Fixed Fee,Internal,Change,20/08/2025,31/12/2025,0,0,230030,CRQ003-Monitoring_Extention_(01/10/24-31/02/25),48392.75,48392.75,48392.75,0,0,0,0,48392.75,1,https://inorail.sharepoint.com/sites/Projects230000/Shared Documents/230030 AMCO - Leeds HUL -54 Span 7/Commercial/00_AFV/230030_Project_Dashboard.xlsx
240025,Victoria North,BAM,1,InoSurveying,Surveying Change,2,9,2,240025-BAM-29002-CRQ002-Monitoring_&_Engineering,Fixed Fee,Internal,Change,20/08/2025,31/12/2025,0,0,240025,CRQ002-Monitoring_&_Engineering,4717,4717,4717,0,0,0,0,4717,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240025 BAMS - Victoria North Monitoring/02_Commercial/00_AFV/240025_Project_Dashboard.xlsx
240025,Victoria North,BAM,1,InoSurveying,Surveying Change,2,9,1,240025-BAM-29001-CRQ001-Geometry_&_Dilapidation,Fixed Fee,Internal,Change,20/08/2025,31/12/2025,0,0,240025,CRQ001-Geometry_&_Dilapidation,2299,2299,2299,0,0,0,0,2299,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240025 BAMS - Victoria North Monitoring/02_Commercial/00_AFV/240025_Project_Dashboard.xlsx
240025,Victoria North,BAM,1,InoSurveying,Surveying Change,2,9,4,240025-BAM-29004-CRQ005-Monitoring_Extension,Fixed Fee,Internal,Change,20/08/2025,31/12/2025,0,0,240025,CRQ005-Monitoring_Extension,18013.5,18013.5,18013.5,0,0,0,0,18013.5,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240025 BAMS - Victoria North Monitoring/02_Commercial/00_AFV/240025_Project_Dashboard.xlsx
240025,Victoria North,BAM,1,InoSurveying,Surveying Change,2,9,5,240025-BAM-29005-CRQ006-THB_&_Packing_Team,Fixed Fee,Internal,Change,20/08/2025,31/12/2025,0,0,240025,CRQ006-THB_&_Packing_Team,4211.5,4211.5,4211.5,0,0,0,0,4211.5,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240025 BAMS - Victoria North Monitoring/02_Commercial/00_AFV/240025_Project_Dashboard.xlsx
240098,Drainage CP7 Yr 2,CRSA,1,InoSurveying,Surveying Change,2,9,11,240098-CRSA-29011-CRQ019 Milton Keynes WK14,Fixed Fee,Internal,Change,28/10/2025,31/12/2025,0,0,240098,CRQ019 Milton Keynes WK14,7554.65,7554.65,7554.65,0,0,0,0,7554.65,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240098 CRSA - CRSA Drainage CP7 Yr2/02_Commercial/00_AFV/240098_Project_Dashboard.xlsx
240098,Drainage CP7 Yr 2,CRSA,1,InoSurveying,Surveying Change,2,9,10,240098-CRSA-29010-CRQ017 Tame Bridge WK14 Additional Shift,Fixed Fee,Internal,Change,28/10/2025,31/12/2025,0,0,240098,CRQ017 Tame Bridge WK14 Additional Shift,1892.19,1892.19,1892.19,0,0,0,0,1892.19,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240098 CRSA - CRSA Drainage CP7 Yr2/02_Commercial/00_AFV/240098_Project_Dashboard.xlsx
240098,Drainage CP7 Yr 2,CRSA,1,InoSurveying,Surveying Change,2,9,9,240098-CRSA-29009-CRQ016 Tame Bridge ES Shifts,Fixed Fee,Internal,Change,28/10/2025,31/12/2025,0,0,240098,CRQ016 Tame Bridge ES Shifts,990,990,990,0,0,0,0,990,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240098 CRSA - CRSA Drainage CP7 Yr2/02_Commercial/00_AFV/240098_Project_Dashboard.xlsx
240098,Drainage CP7 Yr 2,CRSA,1,InoSurveying,Surveying Change,2,9,8,240098-CRSA-29008-CRQ015 Barton & Broughton ES Shifts,Fixed Fee,Internal,Change,28/10/2025,31/12/2025,0,0,240098,CRQ015 Barton & Broughton ES Shifts,1485,1485,1485,0,0,0,0,1485,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240098 CRSA - CRSA Drainage CP7 Yr2/02_Commercial/00_AFV/240098_Project_Dashboard.xlsx
240098,Drainage CP7 Yr 2,CRSA,1,InoSurveying,Surveying Change,2,9,6,240098-CRSA-29006-CRQ007-Golborne_DVS,Fixed Fee,Internal,Change,28/10/2025,31/12/2025,0,0,240098,CRQ007-Golborne_DVS,735,735,735,0,0,0,0,735,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240098 CRSA - CRSA Drainage CP7 Yr2/02_Commercial/00_AFV/240098_Project_Dashboard.xlsx
240098,Drainage CP7 Yr 2,CRSA,1,InoSurveying,Surveying Change,2,9,5,240098-CRSA-29005-CRQ006-Crowthorne_Junction,Fixed Fee,Internal,Change,28/10/2025,31/12/2025,0,0,240098,CRQ006-Crowthorne_Junction,2035,2035,2035,0,0,0,0,2035,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240098 CRSA - CRSA Drainage CP7 Yr2/02_Commercial/00_AFV/240098_Project_Dashboard.xlsx
240098,Drainage CP7 Yr 2,CRSA,1,InoSurveying,Surveying Change,2,9,4,240098-CRSA-29004-CRQ004-Cancelled_Shift,Fixed Fee,Internal,Change,28/10/2025,31/12/2025,0,0,240098,CRQ004-Cancelled_Shift,5890,5890,5890,0,0,0,0,5890,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240098 CRSA - CRSA Drainage CP7 Yr2/02_Commercial/00_AFV/240098_Project_Dashboard.xlsx
240098,Drainage CP7 Yr 2,CRSA,1,InoSurveying,Surveying Change,2,9,3,240098-CRSA-29003-CRQ003-Provision_of_De-Veg_Team,Fixed Fee,Internal,Change,28/10/2025,31/12/2025,0,0,240098,CRQ003-Provision_of_De-Veg_Team,2639,2639,2639,0,0,0,0,2639,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240098 CRSA - CRSA Drainage CP7 Yr2/02_Commercial/00_AFV/240098_Project_Dashboard.xlsx
240098,Drainage CP7 Yr 2,CRSA,1,InoSurveying,Surveying Change,2,9,2,240098-CRSA-29002-CRQ002-Additional_Survey_Shifts,Fixed Fee,Internal,Change,28/10/2025,31/12/2025,0,0,240098,CRQ002-Additional_Survey_Shifts,5999,5999,5999,0,0,0,0,5999,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240098 CRSA - CRSA Drainage CP7 Yr2/02_Commercial/00_AFV/240098_Project_Dashboard.xlsx
240098,Drainage CP7 Yr 2,CRSA,1,InoSurveying,Surveying Change,2,9,1,240098-CRSA-29001-CRQ001-ES_Assistance_Barton,Fixed Fee,Internal,Change,28/10/2025,31/12/2025,0,0,240098,CRQ001-ES_Assistance_Barton,544.5,544.5,544.5,0,0,0,0,544.5,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240098 CRSA - CRSA Drainage CP7 Yr2/02_Commercial/00_AFV/240098_Project_Dashboard.xlsx
240098,Drainage CP7 Yr 2,CRSA,1,InoSurveying,Surveying Change,2,9,7,240098-CRSA-29007-CRQ008-Additional_Survey_Shift,Fixed Fee,Internal,Change,28/10/2025,31/12/2025,0,0,240098,CRQ008-Additional_Survey_Shift,1929.75,1929.75,1929.75,0,0,0,0,1929.75,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240098 CRSA - CRSA Drainage CP7 Yr2/02_Commercial/00_AFV/240098_Project_Dashboard.xlsx
240189,Window Sampling - Euston to Crew,CRSA,1,InoSurveying,Surveying Change,2,9,1,240189-CRSA-29001-02-Coventry_South_Window_Sampling_Works,Fixed Fee,Internal,Change,29/07/2025,31/12/2025,0,0,240189,02-Coventry_South_Window_Sampling_Works,4590.08,4590.08,4590.08,0,0,0,0,4590.08,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240189 CRSA - Window Sampling - Euston to Crewe/02_Commercial/00_AFV/240189_Project_Dashboard.xlsx
240189,Window Sampling - Euston to Crew,CRSA,1,InoSurveying,Surveying Change,2,9,2,240189-CRSA-29002-03-Hartington_Close_Window_Sampling_Works,Fixed Fee,Internal,Change,29/07/2025,31/12/2025,0,0,240189,03-Hartington_Close_Window_Sampling_Works,4590.08,4590.08,4590.08,0,0,0,0,4590.08,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240189 CRSA - Window Sampling - Euston to Crewe/02_Commercial/00_AFV/240189_Project_Dashboard.xlsx
240189,Window Sampling - Euston to Crew,CRSA,1,InoSurveying,Surveying Change,2,9,3,240189-CRSA-29003-04-Pitstone_Window_Sampling_Works,Fixed Fee,Internal,Change,29/07/2025,31/12/2025,0,0,240189,04-Pitstone_Window_Sampling_Works,4590.08,4590.08,4590.08,0,0,0,0,4590.08,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240189 CRSA - Window Sampling - Euston to Crewe/02_Commercial/00_AFV/240189_Project_Dashboard.xlsx
240189,Window Sampling - Euston to Crew,CRSA,1,InoSurveying,Surveying Change,2,9,5,240189-CRSA-29005-06-Hayford_Window_Sampling_Works,Fixed Fee,Internal,Change,29/07/2025,31/12/2025,0,0,240189,06-Hayford_Window_Sampling_Works,4590.08,4590.08,4590.08,0,0,0,0,4590.08,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240189 CRSA - Window Sampling - Euston to Crewe/02_Commercial/00_AFV/240189_Project_Dashboard.xlsx
240207,TRU West Framework,Amey,1,InoSurveying,Surveying Change,2,9,67,240207-AMEY-29067-CRQ078-GHE_to_Copley_Hill_Gedo,Fixed Fee,Internal,Change,30/10/2025,31/12/2025,0,0,240207,CRQ078-GHE_to_Copley_Hill_Gedo,5368.92,5368.92,5368.92,0,0,0,0,5368.92,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240207 Amey - TRU West Framework/02_Commercial/00_AFV/240207_Project_Dashboard.xlsx
240207,TRU West Framework,Amey,1,InoSurveying,Surveying Change,2,9,72,240207-AMEY-29072-CRQ083-TRU_W3_Topo_Eng,Fixed Fee,Internal,Change,30/10/2025,31/12/2025,0,0,240207,CRQ083-TRU_W3_Topo_Eng,5665,5665,5665,0,0,0,0,5665,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240207 Amey - TRU West Framework/02_Commercial/00_AFV/240207_Project_Dashboard.xlsx
240207,TRU West Framework,Amey,1,InoSurveying,Surveying Change,2,9,64,"240207-AMEY-29064-CRQ075-C45,C47_Progressive_Assurance_High_speed_hand_back_monitoring",Fixed Fee,Internal,Change,30/10/2025,31/12/2025,0,0,240207,"CRQ075-C45,C47_Progressive_Assurance_High_speed_hand_back_monitoring",10145.96,10145.96,10145.96,0,0,0,0,10145.96,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240207 Amey - TRU West Framework/02_Commercial/00_AFV/240207_Project_Dashboard.xlsx
240207,TRU West Framework,Amey,1,InoSurveying,Surveying Change,2,9,65,240207-AMEY-29065-CRQ076-Flint_Steet_Topo_Survey,Fixed Fee,Internal,Change,30/10/2025,31/12/2025,0,0,240207,CRQ076-Flint_Steet_Topo_Survey,1646.5,1646.5,1646.5,0,0,0,0,1646.5,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240207 Amey - TRU West Framework/02_Commercial/00_AFV/240207_Project_Dashboard.xlsx
240207,TRU West Framework,Amey,1,InoSurveying,Surveying Change,2,9,47,240207-AMEY-29047-CRQ058-W3_Frameork_Wk03-Wk05,Fixed Fee,Internal,Change,30/10/2025,31/12/2025,0,0,240207,CRQ058-W3_Frameork_Wk03-Wk05,21705.24,21705.24,21705.24,0,0,0,0,21705.24,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240207 Amey - TRU West Framework/02_Commercial/00_AFV/240207_Project_Dashboard.xlsx
240207,TRU West Framework,Amey,1,InoSurveying,Surveying Change,2,9,9,240207-AMEY-29009-CRQ011-THB_Assistance,Fixed Fee,Internal,Change,30/10/2025,31/12/2025,0,0,240207,CRQ011-THB_Assistance,650,650,650,0,0,0,0,650,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240207 Amey - TRU West Framework/02_Commercial/00_AFV/240207_Project_Dashboard.xlsx
240207,TRU West Framework,Amey,1,InoSurveying,Surveying Change,2,9,10,240207-AMEY-29010-CRQ012-TWU_W3_THB_Oaklands_UTAS_Midwk18,Fixed Fee,Internal,Change,30/10/2025,31/12/2025,0,0,240207,CRQ012-TWU_W3_THB_Oaklands_UTAS_Midwk18,2200,2200,2200,0,0,0,0,2200,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240207 Amey - TRU West Framework/02_Commercial/00_AFV/240207_Project_Dashboard.xlsx
240207,TRU West Framework,Amey,1,InoSurveying,Surveying Change,2,9,11,240207-AMEY-29011-CRQ013-Track_Monitoring_SL4800_BID01_V1_SD,Fixed Fee,Internal,Change,30/10/2025,31/12/2025,0,0,240207,CRQ013-Track_Monitoring_SL4800_BID01_V1_SD,6120.05,6120.05,6120.05,0,0,0,0,6120.05,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240207 Amey - TRU West Framework/02_Commercial/00_AFV/240207_Project_Dashboard.xlsx
240207,TRU West Framework,Amey,1,InoSurveying,Surveying Change,2,9,12,240207-AMEY-29012-CRQ014-W3_THB_Assistance,Fixed Fee,Internal,Change,30/10/2025,31/12/2025,0,0,240207,CRQ014-W3_THB_Assistance,1300,1300,1300,0,0,0,0,1300,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240207 Amey - TRU West Framework/02_Commercial/00_AFV/240207_Project_Dashboard.xlsx
240207,TRU West Framework,Amey,1,InoSurveying,Surveying Change,2,9,13,240207-AMEY-29013-CRQ015-W3_THB_Assistance,Fixed Fee,Internal,Change,30/10/2025,31/12/2025,0,0,240207,CRQ015-W3_THB_Assistance,2914.07,2914.07,2914.07,0,0,0,0,2914.07,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240207 Amey - TRU West Framework/02_Commercial/00_AFV/240207_Project_Dashboard.xlsx
240207,TRU West Framework,Amey,1,InoSurveying,Surveying Change,2,9,14,240207-AMEY-29014-CRQ016-W3_THB_Assistance,Fixed Fee,Internal,Change,30/10/2025,31/12/2025,0,0,240207,CRQ016-W3_THB_Assistance,714.07,714.07,714.07,0,0,0,0,714.07,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240207 Amey - TRU West Framework/02_Commercial/00_AFV/240207_Project_Dashboard.xlsx
240207,TRU West Framework,Amey,1,InoSurveying,Surveying Change,2,9,8,240207-AMEY-29008-CRQ010-Batley_Topo_Assistance,Fixed Fee,Internal,Change,30/10/2025,31/12/2025,0,0,240207,CRQ010-Batley_Topo_Assistance,1534.42,1534.42,1534.42,0,0,0,0,1534.42,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240207 Amey - TRU West Framework/02_Commercial/00_AFV/240207_Project_Dashboard.xlsx
240207,TRU West Framework,Amey,1,InoSurveying,Surveying Change,2,9,15,240207-AMEY-29015-CRQ017-W3_THB_Assistance,Fixed Fee,Internal,Change,30/10/2025,31/12/2025,0,0,240207,CRQ017-W3_THB_Assistance,714.07,714.07,714.07,0,0,0,0,714.07,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240207 Amey - TRU West Framework/02_Commercial/00_AFV/240207_Project_Dashboard.xlsx
